"仗剑","60"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"英尘","素问"," 0/0","236","0","14089","0","4358","0","11018162","6331328","1","3","0"
"小昕举世无双","潮光"," 6/2","50","0","2459141","0","7634203","0","78307","5243498","4","17","0"
"慕温温","鸿音"," 0/0","185","0","8096","0","1562","0","6362762","7153992","5","3","0"
"与卿忆","碎梦"," 7/4","68","0","1627393","0","54136","0","0","3788853","11","0","0"
"雪落此情绵绵","鸿音"," 15/3","123","0","8415353","764994","903428","594607","0","6062454","10","0","0"
"诗殇","素问"," 0/0","233","0","19926","0","462","0","10431823","4407172","7","6","0"
"名字62046001170","素问"," 0/0","233","0","6499","0","0","0","12944561","5823203","2","4","0"
"名字56670301157","神相"," 13/3","116","0","5781911","0","145137","0","0","6365836","9","0","0"
"斩丷","潮光"," 24/6","160","0","6825653","0","190999","0","308751","5272192","2","15","0"
"大橘","玄机"," 19/3","92","0","5086791","0","460692","0","0","4919347","7","0","0"
"桑锦","鸿音"," 0/0","245","0","0","0","0","0","17605736","8973933","6","9","0"
"苏洛","神相"," 14/4","149","0","8046617","0","188767","0","0","4397538","5","0","0"
"单柒","九灵"," 17/5","171","0","5062870","0","147666","0","0","3677708","4","0","74"
"小柒天下无双","潮光"," 13/2","120","0","3442739","0","506680","0","6296","5968368","8","5","0"
"泠泠雨","潮光"," 17/9","189","0","9893265","0","112067","0","270156","6255687","2","14","0"
"蒽音","潮光"," 7/2","68","0","1650531","0","390505","0","10132","2385708","8","0","0"
"空门苍","玄机"," 20/3","160","0","6112310","0","136340","0","0","5002285","4","0","0"
"即约","鸿音"," 0/0","201","0","0","0","0","0","9329999","6082355","2","1","0"
"知予","潮光"," 3/0","37","0","1695060","0","10542951","0","42846","4693297","3","11","0"
"青颜","沧澜"," 16/4","109","0","6204175","0","179628","0","0","6908650","8","0","0"
"君无","龙吟"," 17/6","109","0","5706906","0","2423606","0","0","6298097","4","0","0"
"栖墟","碎梦"," 14/4","69","0","3384750","0","27043","0","0","3998563","8","0","0"
"無辜","铁衣"," 0/0","127","0","1058786","0","297609","0","319041","15439675","9","0","0"
"心动","九灵"," 7/2","82","0","559795","0","35647","0","6678","1999668","9","0","36"
"洗盐","素问"," 0/0","187","0","17821","0","76077","0","8007626","6705314","6","6","0"
"无处话凄凉","龙吟"," 10/2","69","0","2760379","0","5816509","0","0","8207369","7","0","0"
"独舞长空一剑","玄机"," 24/2","105","0","5419593","0","495389","0","0","4964926","8","0","0"


"横戈","60"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"困困栗","鸿音"," 2/1","47","0","2246596","262356","8585768","2516542","0","6701261","6","0","0"
"谨慎","沧澜"," 13/4","74","0","4976062","0","23343","0","0","9429277","16","0","0"
"菲利克斯","素问"," 0/0","134","0","0","0","0","0","12930027","10109510","7","7","0"
"墨兰","潮光"," 7/3","72","0","3013440","0","1049720","0","93538","4963985","4","20","0"
"星纱","素问"," 1/0","173","0","50562","0","0","0","9142439","5691584","6","9","0"
"晚风轻轻","素问"," 0/0","133","0","14323","0","5360","0","13552377","7282856","6","9","0"
"驷月","潮光"," 2/1","48","0","1649988","0","8593077","0","0","9444485","15","7","0"
"小白","铁衣"," 0/0","80","0","597251","0","142519","0","42381","10977376","8","0","0"
"似似","潮光"," 10/3","110","0","3781061","0","19120","0","124006","5148554","10","12","0"
"姐姐大人","九灵"," 24/6","140","0","6141282","0","54729","0","0","7070013","3","0","84"
"蓝玉烟","鸿音"," 0/0","91","0","30812","0","2423","0","8465842","6857818","7","5","0"
"一笑泯千愁","龙吟"," 0/1","63","0","3118405","0","8006923","0","0","11448711","13","0","0"
"故遇丶","龙吟"," 2/3","50","0","2378256","0","7030349","0","0","8400894","6","0","0"
"小银湾","素问"," 0/0","91","0","13430","0","778","0","17364708","10451861","7","14","0"
"墨侃","铁衣"," 0/0","106","0","1213189","0","1190519","0","69298","23972966","10","0","0"
"风起时雨落","碎梦"," 14/4","76","0","4692274","0","0","0","0","4617583","9","0","0"
"什么猫","潮光"," 3/1","50","0","1851926","0","6891495","0","40875","6931616","11","10","0"
"春谷荼雨","神相"," 10/4","108","0","6924533","0","229157","0","0","5000835","6","0","0"
"半点心","玄机"," 9/3","50","0","4147985","0","1586825","0","0","6890803","13","0","0"
"暮跃渊","血河"," 13/2","67","0","6651035","0","79968","0","1237737","8536402","14","0","0"
"雪峰部都督问情","潮光"," 5/0","26","0","1788006","0","9156671","0","5673","5542323","6","12","0"
"哈基喵","神相"," 15/5","121","0","8350884","0","21445","0","0","5765571","3","0","0"
"小雯青","沧澜"," 5/2","38","0","3755355","0","9697031","0","0","10074794","12","0","0"
"凛枂","素问"," 0/0","199","0","29297","0","0","0","17172149","6102078","9","9","0"
"靔姈","九灵"," 3/0","60","0","2113495","0","165820","0","0","8144629","12","0","17"
"俺理理泥","鸿音"," 0/0","98","0","17740","0","0","0","8116468","7736078","6","6","0"
"小碎喵","碎梦"," 7/6","48","0","2564853","0","48932","0","0","5407087","11","0","0"
"风起时莫急","血河"," 7/5","76","0","9368203","0","21392","0","1282344","11566778","11","0","0"
"风尘浊酒白衣沽","铁衣"," 1/0","99","0","1032907","0","437001","0","58084","20486161","10","0","0"
"华月","神相"," 16/5","104","0","4960971","0","11798","0","0","5642742","12","0","0"
"情有千千缘","九灵"," 17/8","111","0","5152497","0","10650","0","0","3493639","6","0","39"
"请君三尺剑","铁衣"," 0/0","86","0","835793","0","670681","0","93318","14613553","7","0","0"
"灵修第一天才","鸿音"," 4/2","77","0","3294155","317059","7147434","1522267","0","6259020","9","0","0"
"幸运小诠释","素问"," 0/0","159","0","8655","0","0","0","13216556","3918133","6","10","0"
"倾听那片海","潮光"," 8/2","112","0","3817943","0","8366","0","217372","6448478","6","16","0"
"杳杳安","素问"," 0/0","112","0","20673","0","0","0","11919348","6650168","9","10","0"
"阿月为你痛哭","神相"," 13/6","110","0","7687982","0","36783","0","0","7012410","6","0","0"
"绵绵初","素问"," 0/0","148","0","14084","0","431","0","14233050","6362982","2","5","0"
"嚼嚼","素问"," 0/0","208","0","16916","0","0","0","16586395","7304810","10","11","0"
"飘飘然","素问"," 0/0","133","0","35784","0","0","0","13453350","7174076","8","9","0"
"凌碎虞月","沧澜"," 3/1","44","0","2503893","0","7224765","0","0","11948815","12","0","0"
"栖光","铁衣"," 2/0","101","0","1113095","0","409652","0","55477","15212715","10","0","0"
"凛樾","沧澜"," 6/7","59","0","3869451","0","9963","0","0","10168012","14","0","0"
"仪泫","潮光"," 1/1","31","0","1518536","0","3781698","0","66175","7326567","7","15","0"
"楚霜满天","沧澜"," 6/1","63","0","6842558","0","11761860","0","0","13849391","15","0","0"
"楚忆雨","龙吟"," 6/1","43","0","2518664","0","6863994","0","0","9552132","10","0","0"
"小次席","沧澜"," 4/2","38","0","1817284","0","5239678","0","0","8203646","19","0","0"
"白茶清欢","碎梦"," 9/3","28","0","1367566","0","13535","0","0","3565485","11","0","0"
"了了睡了","神相"," 8/2","92","0","3613407","0","73698","0","0","4618989","9","0","0"
"毛毛雨","潮光"," 12/3","107","0","4653332","0","14983","0","119647","5364843","3","17","0"
"惟许","碎梦"," 10/3","46","0","2320748","0","73338","0","0","4308316","9","0","0"
"一砚梨花情","鸿音"," 0/0","93","0","0","0","0","0","6636904","8502666","10","4","0"
"陨落的天才","玄机"," 16/4","50","0","5281005","0","1846063","0","0","5736951","5","0","0"
"怀月丶","龙吟"," 6/1","61","0","1900113","0","4699602","0","0","6476247","8","0","0"
"碎碎叙","玄机"," 13/7","82","0","5829995","0","1087160","0","0","7803229","11","0","0"
"花花花辞","九灵"," 10/2","110","0","5251761","0","14974","0","0","4826630","11","0","39"
"风起时挽梦","玄机"," 19/4","68","0","4480879","0","1030878","0","0","4061707","10","0","0"
"之易","鸿音"," 0/0","149","0","10801","0","0","0","11371255","12701582","6","11","0"
"纯铁","铁衣"," 5/2","51","0","1767138","0","379632","0","0","5533390","13","0","0"
"小鸿啵","潮光"," 3/0","63","0","3498659","0","5954064","0","106319","7583654","9","15","0"

