"横戈","59"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"白星","沧澜"," 2/0","44","0","1651067","0","5640873","0","0","8866150","18","0","0"
"陳十一","龙吟"," 2/1","31","0","1253425","0","21354408","0","0","5749776","8","0","0"
"天下第一蓄转振","潮光"," 30/6","144","0","7714771","0","290414","0","122124","5607647","0","16","0"
"阮菟丶","鸿音"," 18/5","120","0","7326035","503139","1791240","2728261","0","6841153","9","0","0"
"霜月栖孤屿","鸿音"," 4/0","41","0","1492399","177871","11083198","0","0","2805823","7","0","0"
"心落海","素问"," 0/0","194","0","30204","0","886","0","11309300","6977481","9","7","0"
"青辞丶","九灵"," 9/2","158","0","4371012","0","1135541","0","0","7441795","9","0","51"
"怎么样","沧澜"," 2/1","10","0","739456","0","18887308","0","0","3513127","6","0","0"
"我只一剑开天门","沧澜"," 26/10","133","0","11241830","0","395749","0","0","12152444","15","0","0"
"月夏","鸿音"," 16/1","135","0","4143697","263855","99833","69700","0","7260410","8","0","0"
"北宸丶","铁衣"," 1/0","99","0","618030","0","737179","0","171167","12078329","6","0","0"
"霜楠","血河"," 29/11","94","0","10412701","0","59777","0","505293","6898975","9","0","0"
"清平乐","素问"," 0/0","224","0","24069","0","4869","0","10641362","6727261","13","5","0"
"浮梦瑶","神相"," 11/1","113","0","3625680","0","450232","0","0","3468607","8","0","0"
"世一槿","碎梦"," 22/9","92","0","4950517","0","72737","0","0","4659214","8","0","0"
"小泠曲","神相"," 17/12","161","0","9436924","0","0","0","0","7046675","8","0","0"
"桃酿丷","九灵"," 13/3","153","0","4041784","0","633040","0","0","3207784","6","0","65"
"苑溪","九灵"," 16/1","121","0","4581753","0","0","0","0","4076276","7","0","55"
"枕星雨","碎梦"," 12/5","70","0","4093579","0","0","0","0","6092308","13","0","0"
"月怜枝上雨","潮光"," 10/4","127","0","4658759","0","146892","0","158276","6882210","7","19","0"
"棠屿乄","素问"," 0/0","308","0","12572","0","2765","0","11799874","4208158","6","8","0"


"仗剑","60"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"不系鱼饼","素问"," 0/0","215","0","23714","0","18131","0","13206616","5622841","5","9","0"
"影弋","龙吟"," 4/0","33","0","2069749","0","7692547","0","0","5581072","13","0","0"
"骑着猪做着梦","鸿音"," 20/3","108","0","6402995","609367","76029","875097","0","5677058","8","0","0"
"昕语丷","鸿音"," 0/0","167","0","1639","0","9161","0","6650409","6475219","6","8","0"
"雨乐","沧澜"," 5/1","68","0","3065258","0","15477315","0","0","7907767","10","0","0"
"泫烨","铁衣"," 1/0","80","0","593930","0","891917","0","40430","9952619","6","0","0"
"风流倜傥赵长超","龙吟"," 1/1","31","0","1034617","0","13623933","0","0","6408381","9","0","0"
"云昭瑶","潮光"," 1/1","10","0","227701","0","4835468","0","57700","3356723","14","16","0"
"布莱克丶","碎梦"," 16/3","93","0","4244768","0","57403","0","0","5683433","8","0","0"
"魔丸小冰","潮光"," 8/1","131","0","4928385","0","166517","0","147825","6014341","6","13","0"
"微微安","铁衣"," 1/0","65","0","1359359","0","7563205","0","0","11374927","12","0","0"
"说给玫瑰","潮光"," 1/0","22","0","902944","0","15301076","0","44841","5143267","6","15","0"
"凛洌","素问"," 0/0","117","0","6736","0","7664","0","7848708","5123669","11","3","0"
"心软小橙","鸿音"," 0/0","155","0","47423","0","578","0","8669813","12530745","10","4","0"
"随卿长九","沧澜"," 6/0","39","0","2037029","0","10531515","0","0","5697871","9","0","0"
"糕手小兮","血河"," 21/9","85","0","9419028","0","411605","0","359910","7057472","8","0","0"
"過往","玄机"," 17/3","75","0","3682474","0","590124","0","0","3488268","8","0","0"
"拔剑问苍天","沧澜"," 4/0","33","0","2518350","0","14297326","0","0","7218264","8","0","0"
"倾城绝爱","龙吟"," 3/1","54","0","2699012","0","13689135","0","0","8182678","9","0","0"
"王云汐","玄机"," 11/4","61","0","3000822","0","1590621","0","0","2470464","5","0","0"
"枫峰","沧澜"," 5/3","40","0","2212519","0","8145328","0","0","7802786","11","0","0"
"孙寒华","潮光"," 12/1","113","0","3936649","0","3085724","0","125190","3527467","7","14","0"
"长川冷","血河"," 20/1","72","0","6756240","0","1834462","0","675901","5459266","4","0","0"
"王不留情","神相"," 12/7","127","0","6138261","0","650360","0","0","3862730","6","0","0"
"忧鱼饼","铁衣"," 0/0","125","0","1216784","0","1695302","0","0","13458133","6","0","0"
"黎吱","神相"," 16/3","104","0","5144892","0","325959","0","0","4167714","6","0","0"
"灼星","素问"," 0/0","161","0","6063","0","580","0","13882926","5676228","2","10","0"
"欺笙","玄机"," 12/4","78","0","3435689","0","989144","0","0","3947197","10","0","0"
"天使派我拯救你","潮光"," 0/0","28","0","1054578","0","14819421","0","44914","3559138","7","14","0"
"神勇","铁衣"," 1/0","183","0","1213458","0","91387","0","46539","24097907","9","0","0"
"一只素手","素问"," 0/0","172","0","4096","0","1504","0","8488093","9605428","14","2","0"
"窈泠","鸿音"," 0/0","257","0","10512","0","7089","0","14333508","6917926","2","6","0"
"炽渊","潮光"," 11/2","130","0","3548744","0","1817760","0","59087","4671391","3","17","0"
"钱浅","九灵"," 12/1","118","0","3200060","0","818316","0","0","4007536","10","0","35"
"吾为滚刀肉","血河"," 10/2","97","0","7639243","0","342087","0","880243","6597660","15","0","0"
"丨齐静春","血河"," 8/3","61","0","5180846","0","358143","0","338036","5129021","14","0","0"
"小小梧桐","鸿音"," 0/0","105","0","15748","0","4854","0","7915930","11167297","12","7","0"
"卿羽丨","神相"," 20/4","124","0","6813849","0","945161","0","0","5077562","12","0","0"
"执妄","玄机"," 21/4","99","0","4612014","0","905531","0","0","3536094","6","0","0"
"芝士笨薯噜","九灵"," 12/3","142","0","4882854","0","203435","0","0","6033061","6","0","50"
"月清欢","素问"," 0/0","222","0","39850","0","3089","0","14747964","4761141","6","6","0"
"夏莹伊","素问"," 0/0","213","0","21433","0","5529","0","9012624","3694182","7","16","0"
"就爱锁着素问打","神相"," 21/1","138","0","8986642","0","638300","0","2568","4332947","6","0","0"
"君吾","鸿音"," 3/2","82","0","4421073","424757","2364664","94631","0","6657729","11","0","0"
"春日融雪","素问"," 0/0","70","0","13406","0","2627","0","7546138","5712402","5","3","0"
"刀修第一天才","碎梦"," 11/8","58","0","3438431","0","191364","0","0","6446636","15","0","0"
"渃漓","潮光"," 16/2","132","0","3903853","0","3162554","0","105194","3692949","4","19","0"
"小奶影","素问"," 0/0","163","0","3282","0","245","0","12560915","4720153","6","8","0"
"掬星","九灵"," 12/2","69","0","2657068","0","119717","0","0","3629397","8","0","23"
"心动小念宝","鸿音"," 0/0","26","0","1398538","126710","18608006","2186997","0","3086989","8","0","0"
"姜红","鸿音"," 0/0","206","0","4569","0","0","0","14055270","7598636","6","14","0"
"跳舞城的王","鸿音"," 18/5","109","0","6372371","437984","1094839","3340485","0","5940453","14","0","0"
"剑下无风霜","碎梦"," 24/10","130","0","5827648","0","902012","0","0","6321122","2","0","0"
"薄冬","鸿音"," 0/0","88","0","12999","0","1220","0","5589509","7422571","6","4","0"
"从未失策","龙吟"," 6/1","95","0","3352029","0","8172868","0","0","7730447","12","0","0"
"花生酥","潮光"," 5/1","39","0","1313682","0","6328241","0","47082","4113578","5","16","0"
"枝晚意","铁衣"," 0/0","93","0","606219","0","316897","0","188656","11634054","10","0","0"
"执笔","九灵"," 17/3","143","0","5169400","0","1610080","0","0","6515332","9","0","64"
"浊界","碎梦"," 16/1","85","0","4514527","0","561448","0","0","6051583","9","0","0"
"木子琪玉林","铁衣"," 2/0","108","0","874059","0","1003688","0","290920","12228180","5","0","0"

